Source Name,ArrayExpress_Accession,Cell Type,Dir
2i_4_22,ERR1211485,2i,/home/s2321661/Test/align/ERR1211485/ERR1211485_Aligned.sortedByCoord.out.bam
2i_4_23,ERR1211486,2i,/home/s2321661/Test/align/ERR1211486/ERR1211486_Aligned.sortedByCoord.out.bam
2i_4_24,ERR1211487,2i,/home/s2321661/Test/align/ERR1211487/ERR1211487_Aligned.sortedByCoord.out.bam
2i_4_25,ERR1211488,2i,/home/s2321661/Test/align/ERR1211488/ERR1211488_Aligned.sortedByCoord.out.bam
2i_4_26,ERR1211489,2i,/home/s2321661/Test/align/ERR1211489/ERR1211489_Aligned.sortedByCoord.out.bam
2i_4_27,ERR1211490,2i,/home/s2321661/Test/align/ERR1211490/ERR1211490_Aligned.sortedByCoord.out.bam
2i_4_28,ERR1211491,2i,/home/s2321661/Test/align/ERR1211491/ERR1211491_Aligned.sortedByCoord.out.bam
2i_4_29,ERR1211492,2i,/home/s2321661/Test/align/ERR1211492/ERR1211492_Aligned.sortedByCoord.out.bam
2i_4_3,ERR1211466,2i,/home/s2321661/Test/align/ERR1211466/ERR1211466_Aligned.sortedByCoord.out.bam
2i_4_30,ERR1211493,2i,/home/s2321661/Test/align/ERR1211493/ERR1211493_Aligned.sortedByCoord.out.bam
2i_4_31,ERR1211494,2i,/home/s2321661/Test/align/ERR1211494/ERR1211494_Aligned.sortedByCoord.out.bam
2i_4_32,ERR1211495,2i,/home/s2321661/Test/align/ERR1211495/ERR1211495_Aligned.sortedByCoord.out.bam
2i_4_33,ERR1211496,2i,/home/s2321661/Test/align/ERR1211496/ERR1211496_Aligned.sortedByCoord.out.bam
2i_4_34,ERR1211497,2i,/home/s2321661/Test/align/ERR1211497/ERR1211497_Aligned.sortedByCoord.out.bam
2i_4_35,ERR1211498,2i,/home/s2321661/Test/align/ERR1211498/ERR1211498_Aligned.sortedByCoord.out.bam
2i_4_36,ERR1211499,2i,/home/s2321661/Test/align/ERR1211499/ERR1211499_Aligned.sortedByCoord.out.bam
2i_4_37,ERR1211500,2i,/home/s2321661/Test/align/ERR1211500/ERR1211500_Aligned.sortedByCoord.out.bam
2i_4_38,ERR1211501,2i,/home/s2321661/Test/align/ERR1211501/ERR1211501_Aligned.sortedByCoord.out.bam
2i_4_39,ERR1211502,2i,/home/s2321661/Test/align/ERR1211502/ERR1211502_Aligned.sortedByCoord.out.bam
2i_4_4,ERR1211467,2i,/home/s2321661/Test/align/ERR1211467/ERR1211467_Aligned.sortedByCoord.out.bam
2i_4_40,ERR1211503,2i,/home/s2321661/Test/align/ERR1211503/ERR1211503_Aligned.sortedByCoord.out.bam
2i_4_41,ERR1211504,2i,/home/s2321661/Test/align/ERR1211504/ERR1211504_Aligned.sortedByCoord.out.bam
2i_4_42,ERR1211505,2i,/home/s2321661/Test/align/ERR1211505/ERR1211505_Aligned.sortedByCoord.out.bam
2i_4_43,ERR1211506,2i,/home/s2321661/Test/align/ERR1211506/ERR1211506_Aligned.sortedByCoord.out.bam
2i_4_44,ERR1211507,2i,/home/s2321661/Test/align/ERR1211507/ERR1211507_Aligned.sortedByCoord.out.bam
2i_4_45,ERR1211508,2i,/home/s2321661/Test/align/ERR1211508/ERR1211508_Aligned.sortedByCoord.out.bam
2i_4_46,ERR1211509,2i,/home/s2321661/Test/align/ERR1211509/ERR1211509_Aligned.sortedByCoord.out.bam
2i_4_47,ERR1211510,2i,/home/s2321661/Test/align/ERR1211510/ERR1211510_Aligned.sortedByCoord.out.bam
2i_4_48,ERR1211511,2i,/home/s2321661/Test/align/ERR1211511/ERR1211511_Aligned.sortedByCoord.out.bam
2i_4_49,ERR1211512,2i,/home/s2321661/Test/align/ERR1211512/ERR1211512_Aligned.sortedByCoord.out.bam
2i_4_5,ERR1211468,2i,/home/s2321661/Test/align/ERR1211468/ERR1211468_Aligned.sortedByCoord.out.bam
2i_4_50,ERR1211513,2i,/home/s2321661/Test/align/ERR1211513/ERR1211513_Aligned.sortedByCoord.out.bam
2i_4_51,ERR1211514,2i,/home/s2321661/Test/align/ERR1211514/ERR1211514_Aligned.sortedByCoord.out.bam
2i_4_52,ERR1211515,2i,/home/s2321661/Test/align/ERR1211515/ERR1211515_Aligned.sortedByCoord.out.bam
2i_4_53,ERR1211516,2i,/home/s2321661/Test/align/ERR1211516/ERR1211516_Aligned.sortedByCoord.out.bam
2i_4_54,ERR1211517,2i,/home/s2321661/Test/align/ERR1211517/ERR1211517_Aligned.sortedByCoord.out.bam
2i_4_55,ERR1211518,2i,/home/s2321661/Test/align/ERR1211518/ERR1211518_Aligned.sortedByCoord.out.bam
2i_4_56,ERR1211519,2i,/home/s2321661/Test/align/ERR1211519/ERR1211519_Aligned.sortedByCoord.out.bam
2i_4_57,ERR1211520,2i,/home/s2321661/Test/align/ERR1211520/ERR1211520_Aligned.sortedByCoord.out.bam
2i_4_58,ERR1211521,2i,/home/s2321661/Test/align/ERR1211521/ERR1211521_Aligned.sortedByCoord.out.bam
2i_4_59,ERR1211522,2i,/home/s2321661/Test/align/ERR1211522/ERR1211522_Aligned.sortedByCoord.out.bam
2i_4_6,ERR1211469,2i,/home/s2321661/Test/align/ERR1211469/ERR1211469_Aligned.sortedByCoord.out.bam
